epoch,train_loss,val_loss,train_acc,val_acc,lr
186,0.5012894204245674,0.6228512459754943,0.9998888888888889,0.952,0.0013815039801161717
187,0.5011465753237406,0.6224785427093505,0.9999777777777777,0.9526,0.0012041619030626334
188,0.5011823579788208,0.6226397073745727,1.0,0.9516,0.0010388594689117066
189,0.5011977252006531,0.6215529705047608,0.9999555555555556,0.9518,0.0008856374635655636
190,0.5012378355662028,0.6215905745506287,0.9999111111111111,0.9524,0.0007445336922613064
191,0.5012789948357476,0.6219045098304748,0.9999333333333333,0.9524,0.0006155829702431169
192,0.5011383228937785,0.6229699939727783,1.0,0.9514,0.0004988171141721231
193,0.5012259106530084,0.6209425905227661,0.9999111111111111,0.953,0.0003942649342761117
194,0.5011475475841098,0.6221478401184082,0.9999555555555556,0.9526,0.00030195222724102013
195,0.5011821463690864,0.6216622690200806,0.9999555555555556,0.9534,0.00022190176984600011
196,0.5011114202075534,0.6225007221221924,1.0,0.9532,0.00015413331334360175
197,0.5011186211374071,0.6205148685455322,0.9999555555555556,0.9538,9.866357858642202e-05
198,0.5010447736846076,0.62092064743042,0.9999555555555556,0.9526,5.55062519015048e-05
199,0.5011032362408108,0.620994861793518,1.0,0.9526,2.467198171341999e-05
200,0.5011688260078431,0.621834712600708,0.9999777777777777,0.9528,6.168375916970612e-06
